# Data from Figure 2 in
# “Neighboring Carbon and Hydrogen. XI. Solvolysis of exo-Norbornyl p-Bromobenzenesulfonate.” 
# S. Winstein, D. Trifan , J. Am. Chem. Soc., 1952, 74, 1154–1160. 
# https://doi.org/10.1021/ja01125a007
#
# For EtOH solvolysis (line III in Figure 2)
"time/1e-3 seconds", "log alpha"
0.057377049180328044, -0.5826446280991731
0.3579234972677596, -0.6157024793388428
0.7404371584699456, -0.7396694214876027
1.1775956284153009, -0.7851239669421486
1.6420765027322402, -0.8719008264462804
2.1475409836065573, -1.0247933884297518
2.407103825136612, -1.0041322314049583
2.7622950819672134, -1.111570247933884
3.8278688524590168, -1.227272727272727
5.426229508196722, -1.508264462809917
6.1775956284153, -1.7727272727272725
6.505464480874317, -1.665289256198347
