# Data from Figure 2 in
# “Neighboring Carbon and Hydrogen. XI. Solvolysis of exo-Norbornyl p-Bromobenzenesulfonate.” 
# S. Winstein, D. Trifan , J. Am. Chem. Soc., 1952, 74, 1154–1160. 
# https://doi.org/10.1021/ja01125a007
#
# For EtOH solvolysis (line III in Figure 2)
"time/1e-3 seconds", "log alpha"
0.057377049180328044, -0.5619834710743798
0.1939890710382517, -0.5619834710743798
0.6174863387978142, -0.5826446280991731
1.7786885245901645, -0.6198347107438011
2.0792349726775954, -0.6239669421487599
2.2431693989071038, -0.636363636363636
2.489071038251366, -0.636363636363636
2.9535519125683063, -0.6570247933884292
4.94808743169399, -0.7148760330578507
5.330601092896175, -0.7272727272727268
