,time,Abs
0,0.0,0.19985034223236683
1,1000.0,0.18887001020470542
2,2000.0,0.18368952481738632
3,3000.0,0.1817447691034091
4,4000.0,0.18115186516266038
5,5000.0,0.18112112555490945
6,6000.0,0.18242860467009128
7,7000.0,0.18231615612993832
8,8000.0,0.18145522570610956
9,9000.0,0.18114000675712505
10,10000.0,0.18284073495532524
11,11000.0,0.18255135658371094
12,12000.0,0.18443772930424293
13,13000.0,0.18317512681377163
14,14000.0,0.1829294409331573
15,15000.0,0.1822760166027757
16,16000.0,0.18159875986006288
17,17000.0,0.18312441308234192
18,18000.0,0.18404732906667803
19,19000.0,0.18389211865089702
20,20000.0,0.1846037682734011
21,21000.0,0.18415046992296089
22,22000.0,0.18511652141567264
23,23000.0,0.1843780746368552
24,24000.0,0.1852508278489261
25,25000.0,0.18474322732973172
26,26000.0,0.1863482680562034
27,27000.0,0.18639000171764666
28,28000.0,0.18624554517789363
29,29000.0,0.18689866756697618
30,30000.0,0.18716602091706785
31,31000.0,0.1892045373381104
32,32000.0,0.18816291319435813
33,33000.0,0.1860081121755816
34,34000.0,0.18812910709167874
35,35000.0,0.18848415263430454
36,36000.0,0.18739925188210435
37,37000.0,0.1864542023815348
38,38000.0,0.18868747090680232
39,39000.0,0.19001179578624047
40,40000.0,0.18795192767306762
41,41000.0,0.18868176972279294
42,42000.0,0.18796329319999425
43,43000.0,0.1887571312335301
44,44000.0,0.19134616880898636
45,45000.0,0.18957563858258208
46,46000.0,0.18933845643429303
47,47000.0,0.1925455467668532
48,48000.0,0.1902080467099695
49,49000.0,0.19148347471455446
50,50000.0,0.18997763298255216
