# Data from Figure 2 in
# “Neighboring Carbon and Hydrogen. XI. Solvolysis of exo-Norbornyl p-Bromobenzenesulfonate.” 
# S. Winstein, D. Trifan , J. Am. Chem. Soc., 1952, 74, 1154–1160. 
# https://doi.org/10.1021/ja01125a007
#
# For EtOH solvolysis (line III in Figure 2)
"time/1e-3 seconds", "log alpha"
0.057377049180328044, -0.9297520661157022
0.4672131147540983, -1.0041322314049583
0.7131147540983607, -1.1859504132231402
0.8633879781420766, -1.2024793388429749
1.6010928961748632, -1.4421487603305785
1.942622950819672, -1.5785123966942147
2.1202185792349724, -1.652892561983471
2.3387978142076506, -1.7190082644628097
2.6256830601092895, -1.768595041322314
2.9945355191256837, -1.7975206611570247
3.1174863387978142, -1.9586776859504131
3.4590163934426235, -2.1694214876033056
3.5956284153005464, -2.0578512396694215
