,          Source,                           t (°C),        ρw (g cm-3),     pKw(exp.),       u[pKw(exp.)], pKw(fit),        ΔpKw,           Diff.
200,       Sweeton et al. (1974)1,           25.0,          0.997,           13.993,          0.009,        13.994,         -0.001,           0.008
201,       Sweeton et al. (1974)1,           50.0,          0.988,           13.272,          0.006,        13.265,          0.007,          -0.001
202,       Sweeton et al. (1974)1,           75.0,          0.9748,          12.709,          0.006,        12.697,          0.012,          -0.006
203,       Sweeton et al. (1974)1,          100.0,          0.9583,          12.264,          0.009,        12.254,          0.01,           -0.001
212,       Busey and Mesmer (1978)54,         0.0,          0.9998,          14.941,          0.009,        14.947,         -0.006,           0.003
213,       Busey and Mesmer (1978)54,        25.0,          0.997,           13.993,          0.009,        13.994,         -0.001,           0.008
214,       Busey and Mesmer (1978)54,        50.0,          0.988,           13.272,          0.006,        13.265,          0.007,          -0.001
215,       Busey and Mesmer (1978)54,        75.0,          0.9748,          12.709,          0.006,        12.697,          0.012,          -0.006
216,       Busey and Mesmer (1978)54,       100.0,          0.9583,          12.264,          0.009,        12.254,          0.01,           -0.001
243,       Kryukov et al. (1980)55,         100.0,          0.9998,          11.938,          0.04,         11.937,          0.001,           0.039
256,       Palmer and Drummond (1988)56,     25.0,          0.997,           14.0,            0.01,         13.994,          0.006,           0.004
257,       Palmer and Drummond (1988)56,     50.0,          0.988,           13.28,           0.01,         13.265,          0.015,          -0.005
258,       Palmer and Drummond (1988)56,    100.0,          0.9583,          12.27,           0.01,         12.254,          0.016,          -0.006
262,       Ackermann (1958)61,                0.0,          0.9998,          14.955,          0.005,        14.947,          0.008,          -0.003
263,       Ackermann (1958)61,               10.0,          0.9997,          14.534,          0.005,        14.534,          0.0,             0.005
264,       Ackermann (1958)61,               20.0,          0.9982,          14.161,          0.005,        14.165,         -0.004,           0.001
265,       Ackermann (1958)61,               25.0,          0.997,           13.999,          0.005,        13.994,          0.005,           0.0
266,       Ackermann (1958)61,               30.0,          0.9956,          13.833,          0.005,        13.833,          0.0,             0.005
267,       Ackermann (1958)61,               40.0,          0.9922,          13.533,          0.005,        13.534,         -0.001,           0.004
268,       Ackermann (1958)61,               50.0,          0.988,           13.263,          0.005,        13.265,         -0.002,           0.003
269,       Ackermann (1958)61,               60.0,          0.9832,          13.015,          0.005,        13.021,         -0.006,          -0.001
270,       Ackermann (1958)61,               70.0,          0.9778,          12.8,            0.005,        12.8,            0.0,             0.005
271,       Ackermann (1958)61,               80.0,          0.9718,          12.598,          0.005,        12.6,           -0.002,           0.003
272,       Ackermann (1958)61,               90.0,          0.9653,          12.422,          0.005,        12.418,          0.004,           0.001
273,       Ackermann (1958)61,              100.0,          0.9583,          12.259,          0.005,        12.254,          0.005,           0.0
277,       Chen et al. (1994)62,              0.0,          0.9998,          14.946,          0.005,        14.947,         -0.001,           0.004
278,       Chen et al. (1994)62,             25.0,          0.997,           13.999,          0.005,        13.994,          0.005,           0.0
279,       Chen et al. (1994)62,             50.0,          0.988,           13.276,          0.005,        13.265,          0.011,          -0.006
280,       Chen et al. (1994)62,             75.0,          0.9748,          12.71,           0.005,        12.697,          0.013,          -0.008
281,       Chen et al. (1994)62,            100.0,          0.9583,          12.264,          0.005,        12.254,          0.01,           -0.005
292,       Hamann (1963)58,                  25.0,          0.997,           13.997,          0.03,         13.994,          0.002,           0.028
301,       Hamann and Linton (1969)59,       20.0,          0.9982,          14.167,         3.0,           14.165,          0.003,           2.997
429,       Hnedkovsky et al. (2005)25,      100.0,          0.9641,          11.962,          0.04,         12.21,          -0.249,          -0.209
451,       Balashov et al. (2017)38,        100.0,          0.9641,          12.208,          0.04,         12.21,          -0.002,           0.038
