
# From CRC handbook 105 ed.
# Tab delimited
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/contents/InteractiveTable.xhtml?dswid=9797
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/documents/26_06/26_06_0001.xhtml?dswid=9797
# found at https://library.upei.ca/chem
# search water and density
# temp in degree Celsius, density in g/cm^3
row	temp	density
252	25.2	0.9969955
253	25.3	0.9969696
254	25.4	0.9969436
255	25.5	0.9969176
256	25.6	0.9968914
257	25.7	0.9968651
258	25.8	0.9968387
259	25.9	0.9968123
260	26.0	0.9967857
261	26.1	0.9967591
262	26.2	0.9967324
263	26.3	0.9967055
264	26.4	0.9966786
265	26.5	0.9966516
266	26.6	0.9966245
267	26.7	0.9965973
268	26.8	0.9965700
269	26.9	0.9965426
270	27.0	0.9965151
271	27.1	0.9964875
272	27.2	0.9964599
273	27.3	0.9964321
274	27.4	0.9964043
275	27.5	0.9963763
276	27.6	0.9963483
277	27.7	0.9963202
278	27.8	0.9962920
279	27.9	0.9962637
280	28.0	0.9962353
281	28.1	0.9962068
282	28.2	0.9961783
283	28.3	0.9961496
284	28.4	0.9961208
285	28.5	0.9960920
286	28.6	0.9960631
287	28.7	0.9960341
288	28.8	0.9960050
289	28.9	0.9959758
290	29.0	0.9959465
291	29.1	0.9959171
292	29.2	0.9958876
293	29.3	0.9958581
294	29.4	0.9958285
295	29.5	0.9957987
296	29.6	0.9957689
297	29.7	0.9957390
298	29.8	0.9957090
299	29.9	0.9956790
300	30.0	0.9956488
301	30.1	0.9956185
302	30.2	0.9955882
303	30.3	0.9955578
304	30.4	0.9955273
305	30.5	0.9954967
306	30.6	0.9954660
307	30.7	0.9954352
308	30.8	0.9954044
309	30.9	0.9953734
310	31.0	0.9953424
311	31.1	0.9953113
312	31.2	0.9952801
313	31.3	0.9952488
314	31.4	0.9952175
315	31.5	0.9951860
316	31.6	0.9951545
317	31.7	0.9951228
318	31.8	0.9950911
319	31.9	0.9950593
320	32.0	0.9950275
321	32.1	0.9949955
322	32.2	0.9949635
323	32.3	0.9949313
324	32.4	0.9948991
325	32.5	0.9948668
326	32.6	0.9948344
327	32.7	0.9948020
328	32.8	0.9947694
329	32.9	0.9947368
330	33.0	0.9947041
331	33.1	0.9946713
332	33.2	0.9946384
333	33.3	0.9946055
334	33.4	0.9945724
335	33.5	0.9945393
336	33.6	0.9945061
337	33.7	0.9944728
338	33.8	0.9944394
339	33.9	0.9944060
340	34.0	0.9943724
341	34.1	0.9943388
342	34.2	0.9943051
343	34.3	0.9942713
344	34.4	0.9942375
345	34.5	0.9942035
346	34.6	0.9941695
347	34.7	0.9941354
348	34.8	0.9941012
349	34.9	0.9940669
350	35.0	0.9940326
351	35.1	0.9939982
352	35.2	0.9939637
353	35.3	0.9939291
354	35.4	0.9938944
355	35.5	0.9938597
356	35.6	0.9938248
357	35.7	0.9937899
358	35.8	0.9937549
359	35.9	0.9937199
360	36.0	0.9936847
361	36.1	0.9936495
362	36.2	0.9936142
363	36.3	0.9935788
364	36.4	0.9935434
365	36.5	0.9935078
366	36.6	0.9934722
367	36.7	0.9934365
368	36.8	0.9934007
369	36.9	0.9933649
370	37.0	0.9933290
371	37.1	0.9932929
372	37.2	0.9932569
373	37.3	0.9932207
374	37.4	0.9931844
375	37.5	0.9931481
376	37.6	0.9931117
377	37.7	0.9930753
378	37.8	0.9930387
379	37.9	0.9930021
380	38.0	0.9929654
381	38.1	0.9929286
382	38.2	0.9928917
383	38.3	0.9928548
384	38.4	0.9928178
385	38.5	0.9927807
386	38.6	0.9927435
387	38.7	0.9927063
388	38.8	0.9926689
389	38.9	0.9926316
390	39.0	0.9925941
391	39.1	0.9925565
392	39.2	0.9925189
393	39.3	0.9924812
394	39.4	0.9924434
395	39.5	0.9924056
396	39.6	0.9923677
397	39.7	0.9923297
398	39.8	0.9922916
399	39.9	0.9922534
400	40.0	0.9922152
401	41.0	0.99183
402	42.0	0.99144
403	43.0	0.99104
404	44.0	0.99063
405	45.0	0.99021
406	46.0	0.98979
407	47.0	0.98936
408	48.0	0.98893
409	49.0	0.98848
410	50.0	0.98804
411	51.0	0.98758
412	52.0	0.98712
413	53.0	0.98665
414	54.0	0.98617
415	55.0	0.98569
416	56.0	0.98521
417	57.0	0.98471
418	58.0	0.98421
419	59.0	0.98371
420	60.0	0.98320
421	61.0	0.98268
422	62.0	0.98216
423	63.0	0.98163
424	64.0	0.98109
425	65.0	0.98055
426	66.0	0.98000
427	67.0	0.97945
428	68.0	0.97890
429	69.0	0.97833
430	70.0	0.97776
431	71.0	0.97719
432	72.0	0.97661
433	73.0	0.97603
434	74.0	0.97544
435	75.0	0.97484
436	76.0	0.97424
437	77.0	0.97364
438	78.0	0.97303
439	79.0	0.97241
440	80.0	0.97179
441	81.0	0.97116
442	82.0	0.97053
443	83.0	0.96990
444	84.0	0.96926
445	85.0	0.96861
446	86.0	0.96796
447	87.0	0.96731
448	88.0	0.96664
449	89.0	0.96598
450	90.0	0.96531
451	91.0	0.96463
452	92.0	0.96396
453	93.0	0.96327
454	94.0	0.96258
455	95.0	0.96189
456	96.0	0.96119
457	97.0	0.96049
458	98.0	0.95978
459	99.0	0.95907
460	99.974	0.95837
